Creation Time : 04/07/26 14:32
Time,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,sw_id,pdm_id,iat,fuel_press,lamda,gear,batt_volt,digital,ect,oil_press,fuel_consump,rear_left_speed,ecu_temp,oil_temp,map,tp,rear_right_speed,engine_in,engine_rpm,carter_temp
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
sec,g,g,g,dps,dps,dps,,,C,kPa,,,V,,C,kPa,ccmin^-1,kph,C,C,kPa,%,kph,C,rpm,C
04/07/2026 14:32:17.051, ,,,-0.0525000020861626,-0.0175000000745058,0.122500002384186,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:17.060, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:17.110, ,,,,,,,,53,,,,,,72,,,,,65,,,,,,
04/07/2026 14:32:17.111, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:17.151, 0.147863999009132,-0.0409919992089272,0.987223982810974,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:17.151, ,,,-0.122500002384186,-0.122500002384186,0.192499995231628,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:17.160, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:17.210, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:17.251, 0.14640000462532,-0.0419679991900921,0.989175975322723,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:17.251, ,,,0,-0.122500002384186,0.157499998807907,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:17.260, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:17.310, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:17.351, 0.146888002753258,-0.0405040010809898,0.987223982810974,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:17.351, ,,,-0.0525000020861626,-0.122500002384186,0.174999997019768,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:17.360, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:17.395, ,,,,,,,0,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:17.396, ,,,,,,119,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:17.410, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:17.451, 0.153719991445541,-0.0380639992654324,0.99015200138092,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:17.451, ,,,-0.0525000020861626,0,0.192499995231628,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:17.460, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:17.510, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:17.551, 0.14640000462532,-0.0409919992089272,0.987223982810974,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:17.551, ,,,-0.0175000000745058,-0.280000001192093,0.21000000834465,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:17.560, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:17.610, ,,,,,,,,53,,,,,,72,,,,,65,,,,,,
04/07/2026 14:32:17.610, ,,,,,,,,,54,,,,,,1,,,,,95,,,,,
04/07/2026 14:32:17.611, ,,,,,,,,,,0,,,,,,0,,,,,1,,,,
04/07/2026 14:32:17.611, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:17.611, ,,,,,,,,,,,,12,,,,,,38,,,,,2,,0
04/07/2026 14:32:17.611, ,,,,,,,,,,,,,0,,,,,,,,,,,,
04/07/2026 14:32:17.651, 0.143959999084473,-0.0400159992277622,0.989175975322723,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:17.651, ,,,-0.0350000001490116,0.0874999985098839,0.140000000596046,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:17.660, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:17.710, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:17.751, 0.152743995189667,-0.0380639992654324,0.9896639585495,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:17.751, ,,,-0.0525000020861626,-0.174999997019768,0.157499998807907,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:17.760, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:17.810, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:17.851, 0.147863999009132,-0.0434319972991943,0.984784007072449,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:17.851, ,,,-0.21000000834465,0.0175000000745058,0.157499998807907,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:17.860, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:17.910, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:17.951, 0.151767998933792,-0.0317199975252151,0.989175975322723,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:17.951, ,,,-0.0525000020861626,-0.0175000000745058,0.174999997019768,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:17.960, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:18.010, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:18.051, 0.144935995340347,-0.0434319972991943,0.985271990299225,,,,,,,,,,,,,,,,,,,,,,,
